name,screen_name,description,followers_count,followers_count,friends_count,listed_count,favourites_count,created_at,location
Bozo,brandonboyer_,Music is Energy,365,365,349,0,11945,Fri Apr 18 00:00:49 +0000 2014,"New Hampshire, USA"
🎡VICLAND🎡,vic_abel__,Posted On Zel 📍📍,399,399,462,0,28339,Tue Mar 29 03:30:31 +0000 2016,"Fort Collins, CO"
t r i s t a n,TristonLee10,it be like that most of the time☁️,62,62,49,0,2079,Fri Mar 30 23:42:29 +0000 2018,Cape Town📌
Kevin.,kevinschildself,Strategist.,334,334,162,6,8291,Sat May 02 04:41:53 +0000 2009,Vacation
minnanogoro,minnnanoo,MIN-NANO / FU-GAZ,4947,4947,572,119,559,Fri Dec 18 05:44:03 +0000 2009,TOKYO
spif 🦇,wheresuzi,My animal crossing island is cooler than yours,146,146,190,1,3720,Fri Aug 08 00:03:37 +0000 2014,Wit U
hearthstone stan,princessaelsaa,Flo’KULTURE,257,257,615,0,44084,Mon Apr 08 06:39:57 +0000 2019,LA
PairASocks,_Paradax_,Q(— —Q),13,13,361,0,2018,Sat Dec 27 02:16:16 +0000 2014,My Chair
jordann,jorbanurdina,,19,19,92,0,257,Sun Dec 28 04:00:16 +0000 2014,
🚼,ruccimanee,https://t.co/ckdRDRxHtj,96,96,137,0,3958,Sun Jan 21 01:28:30 +0000 2018,🦆
max gibson,shitstickk,💣,18,18,180,0,1098,Wed Dec 18 18:21:55 +0000 2019,"Campton, England"
alexia ʚ♡⃛ɞ,chechituhhh,Zzzzz,178,178,210,0,7384,Sun Apr 07 03:36:22 +0000 2019,"Long Beach, CA"
_,o1000i,,0,0,66,0,50,Tue Dec 17 22:33:35 +0000 2019,"California, USA"
Brandon DeWitt,B_Clutch,Digital Marketing / Social Strategy,446,446,1107,29,18930,Tue Mar 31 00:06:15 +0000 2009,Los Angeles
zahid,zahid_m8,risk it all?,48,48,79,0,2408,Sat Feb 16 19:09:43 +0000 2019,
saintseneca,Saintseneca_ow,"I may wear glasses, but my doggo visision be 20/20.
I make games and play games.
I'm one of the devs of Kato! Get FOR FREE here: https://t.co/U3GF3TC2um",16,16,163,0,1721,Sat Jan 05 22:33:16 +0000 2019,
🪐,salocinworld,,8,8,141,0,80,Mon Sep 11 18:30:00 +0000 2017,
¥ENNIE,triIyen,something soon 📝🎵,14,14,113,0,2,Fri Mar 05 18:57:26 +0000 2010,773 ✈️ 281 
Kevvvvvvv,kevinderple,no,42,42,79,0,1673,Tue Dec 17 00:02:23 +0000 2019,
megan 👼🏻,1ove_belt,| 🇨🇳🇻🇳| 19 | bi | she/her |,233,233,395,5,28435,Tue May 14 20:04:46 +0000 2019,"Colorado, USA"
100T Liazz,liazzgo,cs @100Thieves,13333,13333,600,56,12962,Thu Oct 10 10:17:32 +0000 2013,"Sydney, Australia"
booboo the fool,lorennvg,slut for frank ocean,473,473,403,0,20962,Fri Dec 04 04:29:39 +0000 2009,thank u frank 
Jordan detre,detre_jordan,,276,276,3530,0,66711,Wed Nov 09 20:28:33 +0000 2016,
Reem 🤡,Reem_Shaabann,angels don’t cry,172,172,506,0,5998,Fri Sep 08 18:49:13 +0000 2017,Abu Dhabi
ziu.wav,Z7USUDRV,IG: @ ziu.wav,1,1,49,0,673,Sat Apr 20 23:18:35 +0000 2019,
Nik,NikTheFuckFace,"Fuk y’all, let me do my own shit",6,6,126,0,576,Thu May 09 23:03:03 +0000 2019,"Okaga,Ca"
cas 🦠,DOWN2E4RTH,atc ✫ sensitive soul,88,88,163,1,5487,Fri May 08 14:42:42 +0000 2015,jupiter
beeg yoshi,it_me_derek,this is Definitely a bruh moment,2,2,83,0,6,Wed Oct 02 00:20:09 +0000 2019,Macdounald
mo🧞‍♀️,MoFazzo,🦋| I just wanna be the plug so my people could eat,232,232,224,0,13029,Fri Dec 21 00:25:05 +0000 2012,
Pauu,pauliinnab,17,133,133,166,0,8300,Wed May 11 03:45:39 +0000 2016,"Los Angeles, CA"
¨̮,cookies0ul,,21,21,283,0,14999,Mon May 06 03:16:59 +0000 2019,
sofia ^-^,ssoapia,chickie tendies :3,78,78,127,0,1549,Thu Jan 07 03:05:42 +0000 2016,
the sympathizer,tigerqly,work in progress,51,51,178,0,7274,Tue Nov 21 22:36:07 +0000 2017,"Houston, TX"
🤎,tyraatm,"sexy nasty, have no guidelines insta: tyra_atm",754,754,549,6,22607,Mon Nov 10 04:25:53 +0000 2014,the valley
Caleb,CALEBORATE,US Booking: Rgrabowski@paradigmagency.com / INTL Booking: Jad@bleucitron.net / mgmt: caleboratemgmt@gmail.com,17501,17501,1267,78,40558,Sat Jan 30 22:17:32 +0000 2010,
T,dopesince_97,,67,67,208,0,4165,Fri May 06 06:29:19 +0000 2016,"New Mexico, USA"
jackson,FlackoS_,..I good boy,194,194,547,0,10612,Wed Oct 19 23:14:52 +0000 2011,Void
🥡,oihmyui,你好 ! 🏁,113,113,149,0,8830,Sat Mar 23 16:21:40 +0000 2019, ♡ 
🌺✨cries✨🌺,thiccolasnick,snoil gang 🐌💕✨ || proud sex truther 🤔🧐 || jordie's bf 😼,108,108,158,1,22484,Sun Dec 01 15:08:20 +0000 2019,
aldo delara,okvisuals,,31,31,75,0,171,Fri Oct 30 14:41:17 +0000 2015,
Becky Tong,beckytong,running tings @juiceboxfm with @francmoody @theambersimone @joehertzmusic 🍒 #BadVegan,3660,3660,1065,33,9403,Tue Mar 23 08:48:24 +0000 2010,LONDON
skoozme,skoozme1,dumb bitch juice SIP,3,3,85,0,208,Wed Nov 27 16:29:34 +0000 2019,
Deanna Ramirez,bikeworldtravis,,69,69,244,0,226,Wed Dec 11 19:21:14 +0000 2019,None of your concern 
Young Money 😂😂,simplejolan,sc: lol_jolan | I talk about my thoughts |working for that strat,16,16,111,0,686,Mon Aug 07 06:26:36 +0000 2017,"San Francisco, CA"
NOBLE,noblenaive,rockstar w da raps tucked... GET IN TUNE 🌐,90,90,159,0,4804,Sun Aug 06 00:38:42 +0000 2017,"Atlanta, GA"
Cash Price,cashpriceeee,What it do babyyy,12,12,89,0,23,Mon Nov 18 15:21:26 +0000 2019,"Albany, OR"
mateushh,bost0n1,,1,1,56,0,229,Tue Feb 20 22:58:53 +0000 2018,
Dennis,denkocsgo,https://t.co/9yCR4lDUQt,14,14,417,0,189,Sun Oct 14 12:50:18 +0000 2018,
Emily,EmilyCrueger,somewhat cooler here,446,446,241,4,21919,Wed Nov 23 21:30:37 +0000 2011,
Light Bender,rbxgoatslayer,"practicing magick and following my shinobi way. Lord, teacher, student, protector, sun.",5,5,87,0,61,Mon Aug 26 03:44:59 +0000 2019,"Los Angeles, CA"
"alternatively, summer",milkshakegf,timeline dummy lmao // ☼ cancer ↑ cancer ☽ gemini,279,279,807,0,13146,Mon May 23 20:00:05 +0000 2016,she/her
Prisciii⁷,priscisnuggies,Whalien 52 - Hand Kinkz,196,196,360,2,6157,Tue Jun 19 21:19:32 +0000 2018,
G,TheInsasian,🇵🇭 🇺🇸 Nothing to see around here,16,16,564,0,15001,Fri May 27 23:23:21 +0000 2016,
レクシー,LexiJureidini,blessed,391,391,330,4,59682,Thu Aug 08 05:49:34 +0000 2013,"Walnut, CA"
dringolord,dringolord,just ur solid lad that doesnt dog the bois,6,6,101,0,1930,Sun Oct 21 22:22:30 +0000 2018,Australia
chris senenenenenenese,cmarcsen,omg he on x-games mode • a&r / publicity,99,99,173,0,3421,Tue Dec 03 13:40:17 +0000 2019,"New Jersey, USA"
"fuck brodie, all my brodies hate brodie",campbellcrose,rfw,24,24,99,0,83,Thu Dec 28 22:31:16 +0000 2017,"Naperville, IL"
simon,simonsiminsimo,,232,232,1054,0,3448,Tue Oct 15 23:46:02 +0000 2013,
nobody,noor_sami1998,,36,36,2249,0,10,Fri May 24 08:25:37 +0000 2013,
Kate,KateLivermore,UMM 😇,289,289,328,0,1161,Mon Jun 11 00:56:06 +0000 2012,
nanc,NancyMai_,i fkn hate yogurt keep that shit out my car,695,695,253,7,34293,Sat Jun 12 18:01:31 +0000 2010,ny ny ny
the shell of a person,al_exj,just vibin. unc charlotte,461,461,1170,5,45395,Wed Feb 26 21:53:59 +0000 2014,"Charlotte, NC"
Uncooked Breadstick,AvaOmgNo,6’2 and a half. I like plants 🌱 but like the good kind ig. my header is grammatically incorrect. I am a fish mom his name is Typhoon,56,56,124,0,2585,Tue Jan 12 05:10:05 +0000 2016,
super chef ben,benzza3001,professional bin man,11,11,95,0,2629,Wed Dec 26 12:55:06 +0000 2018,A woah
faaria,blueskiesinhell,🍉🥑🍇🌻🍓🍋🍊🥀🍌🍑🍒🥝 my two personality traits include having a cat and eating plants,25,25,71,0,67,Sun Dec 08 03:19:37 +0000 2019,
shanax,shanamct,ig : shana.mct,39,39,57,0,887,Fri Jun 02 17:07:32 +0000 2017,"Reims, France"
blank,ReidEdwards4,you gotta eat the lettuce,0,0,44,0,24,Sat Jul 20 01:14:07 +0000 2019,"Sydney, New South Wales"
uǝqnǝᴚ*,RadReuben,he/him @ uc davis 🌱,169,169,188,0,9980,Thu Feb 11 04:55:28 +0000 2016,Social Distancing
Raynalyn,raynalynaa,"intertwinin’ with your mind, body & soul",160,160,145,1,4871,Fri Jan 03 18:17:07 +0000 2014,
standing-egg,LLLLLLIUXX,,149,149,838,0,14426,Sun May 01 12:01:33 +0000 2016,CHINA
alexis,hijodesum4dre,💤,0,0,13,0,20,Wed Jun 22 20:38:28 +0000 2016,"Los Angeles, CA"
audrey,awjiri,jacob's right nut sack,427,427,484,6,85566,Thu Dec 17 01:57:04 +0000 2015,she/her
erin,_tunnelovision,,58,58,66,0,1650,Sun Feb 14 09:35:43 +0000 2016,"Oxford, England"
Leo 🦑,skwint1,Commander and chief👨🏼‍✈️ of my pimp ship 😈 flying high 🚀 follow @theaugoosetus and @FireBeets for content that I won’t officially recommend,2102,2102,1656,9,20666,Wed Aug 07 18:32:19 +0000 2019,Bikini Bottom
mm,ipraytorats,,0,0,23,0,1,Sat Dec 07 09:19:50 +0000 2019,
tyler,arkaidthekid,☀️☀️☀️☀️ follow the light,91,91,257,0,4480,Wed Jul 04 21:55:00 +0000 2018,"Austin, TX"
safy,SafyHallanFarah,i got a tattoo of my mom’s tb shot scar,8555,8555,3133,120,76434,Tue Jul 01 17:05:19 +0000 2014,
leogee,ColeonLeo,,93,93,2901,0,5761,Tue Mar 25 22:19:26 +0000 2014,
Jose Espinosa,JoseEspNvrr,,7,7,10,0,34,Wed Aug 27 20:43:28 +0000 2014,
Niccy B,qhx_1,,146,146,204,1,10518,Wed Nov 04 20:09:58 +0000 2015,"Beaufort, NC"
ashley,ashleybarajasss,9teen/ the SNACK that smiles back ;)),138,138,376,0,19406,Tue Jan 24 18:35:49 +0000 2017,in bed
Kunvr Singh,kunvr_,https://t.co/HSBTnODMu5,89,89,370,0,3232,Tue Feb 14 23:36:36 +0000 2017,"Seattle, WA"
Flaška Vody,FlaskaVody,"jsem jedno velke hovno, ktere se slanina nemelo narodit ani zit meli jste me zabit. Takze toust nikomu z vas za to nemuzu podekovat, protoze jste to neudelali.",8,8,28,0,115,Wed Oct 17 14:40:00 +0000 2018,suncicka i matej to vi
Alex Ochoa,AlexOch79531860,,7,7,69,0,71,Sun Mar 19 22:11:05 +0000 2017,
🅻🅸🅼,Lee_Mai477,"- If i die, chant 'Return of the Mack' around a pentagram to bring me back.                                               
              - Don't care.",408,408,818,1,10748,Mon May 21 18:46:09 +0000 2012,
Chan,ChanTheArts,Artist https://t.co/7zmTuAF9xB —OU @rachaelscofield,172,172,206,0,4323,Sun Nov 23 22:45:03 +0000 2014,
𝔐𝔬𝔫𝔢𝔱,yungxmonet,"more God, more peace.",2068,2068,858,25,95233,Wed Feb 20 21:17:24 +0000 2013,"Miami, Fl"
The Indie One,fanofindieacts,"A fan of Steven Universe, Eurovision Song Contest, BBC Sound of... longlist, Apple Music New Artist of the Week playlist, and Dance Dance Revolution",28,28,855,0,1034,Mon Sep 25 06:28:14 +0000 2017,
jillian,jillskyy,bruh,252,252,269,1,18977,Sat Jun 28 04:14:00 +0000 2014,
Garettsarmiento,Garettsarmient1,i'm with the gang i'm with the mob what was u thinkin,74,74,204,0,13215,Mon Jan 14 06:09:34 +0000 2019,
Jackie samejima,jackisamejima,,46,46,53,0,1869,Fri Dec 06 02:12:03 +0000 2019,
BLOODBOYMATTY,BLOODBOYMATTY,,2,2,29,0,30,Fri Dec 06 01:23:13 +0000 2019,
Don Pablo,JuanPablitoo9,I love deephouse 🥰🥰🥰,837,837,952,0,7436,Thu Apr 06 23:08:22 +0000 2017,"Port Elizabeth, South Africa"
Mark Stultz,mstultz,"not that drake from 4 years ago. iOS @CitizenApp. previously: @hqtrivia, @keezy.",593,593,514,17,30038,Fri Mar 23 21:20:47 +0000 2007,nyc
kwahngew?,officiallyeman,ig @kuangu | he/him,691,691,906,7,43422,Fri Mar 28 18:02:37 +0000 2014,dmv
Julian Torrez,JulianMiDNiGHtT,,2,2,11,0,43,Tue Nov 05 02:13:22 +0000 2019,
emilee :),eemileemarie,capricorn,269,269,217,0,4195,Wed Jan 01 20:32:25 +0000 2014,
☆꧁L e a h꧂☆,leahhfajita,once i sip this baja blast imma forget about u • snap: leahvng,125,125,176,0,43338,Wed Aug 26 21:22:44 +0000 2015,eating sushi
joshua,Smittayy,,411,411,377,0,22943,Wed Dec 24 20:32:49 +0000 2008,Indiana
michael 🌻,pendejeaux,and i’m gonna be mad abt it! | TX,215,215,423,0,7188,Thu Aug 02 21:48:28 +0000 2012,they/he
LamePoster,LamePoster,,14,14,305,0,893,Sat Jul 01 06:50:00 +0000 2017,Việt Nam
fat juicy gorilla grippin moose pu,gryndbynjnsvnyl,,0,0,195,0,2542,Wed Feb 20 19:01:11 +0000 2019,can i see youre Vagina
Maria.Christina,MariaStowe0523,Woman walking by faith❤️,24,24,175,0,1543,Thu May 03 22:06:38 +0000 2018,"North Carolina, USA"
Jimmy Zena,RawrTurtles_,,36,36,200,0,90,Sat Apr 18 17:42:15 +0000 2015,"Brandon,FL"
Sh00k 🖤,fSh00k,"⚡BHS⚡ '21 
No carnival, no games, ya dig?
Drumline 🥁",64,64,469,0,6911,Tue Nov 21 01:44:47 +0000 2017,"Cleveland, OH"
A$AP Gaabz,Gabz_flame,"snap :sobtyol.thekidd                                          
insta :gabz_flame",11,11,117,0,2,Tue Dec 03 18:25:31 +0000 2019,
Marcus,MrcsRoseGold,shit could be worse,33,33,44,0,2173,Sat Jan 12 15:04:32 +0000 2019,"Texas, USA"
Gino Vento,GinoVento,47 Ave Boy,3452,3452,275,29,883,Thu Feb 12 20:53:57 +0000 2009,Miami | Brooklyn | Los Angeles
jacob,jacobhc_,:),10,10,77,0,7681,Sun Mar 27 23:22:51 +0000 2016,
stephanie 🧃,StephLeighbaxte,#swag,51,51,209,0,5943,Sun Sep 03 20:47:05 +0000 2017,
£D,basedprod,,259,259,251,2,42322,Wed Jul 06 06:05:36 +0000 2016,"Compton, CA"
Your New Distro 🔌,yournewdistro,Daily updates on all things music. Follow us on insta for related content @yournewdistro & subscribe to our YT channel 👇,93,93,851,0,883,Mon Dec 02 13:42:11 +0000 2019,"London, England"
Trashier.trash,gayshit3991,,16,16,15,0,63,Tue Jun 26 19:40:46 +0000 2012,
S.,cplusuno,idkwhere...,38,38,129,0,15747,Mon Oct 17 00:28:31 +0000 2016,New Zealand
✖️,roachpot,☮️ 🌱🍄 #VEGAN #PLANTPOWER,175,175,67,1,9374,Sat Sep 10 04:10:13 +0000 2011,Up ur a$$
madz luv,madzpeachy,dazed and amazed,106,106,109,0,4678,Mon Feb 15 04:36:22 +0000 2016,"Ennis, TX"
rosie 🍒,neptunesfairy,20| acpc id: 08986323103 🧚🏼‍♀️,541,541,284,0,38696,Wed Feb 26 00:44:23 +0000 2014,
nicole,californicole_,"✧・ﾟ:* ready, set, and... begin *:・ﾟ✧",450,450,681,2,32859,Sun Oct 02 02:49:43 +0000 2011,rkive ; she/her
jay,julissagallo,yo,29,29,147,0,1975,Sat Dec 15 04:40:24 +0000 2018,
Rayce,Rayce21CReW,escapism,496,496,332,0,13970,Mon Jul 16 23:26:28 +0000 2012,
aaní 🤍,aanibiorka,♎️ lingít | she/her | dart ‘23 🌲,123,123,267,0,15137,Tue Mar 03 04:31:32 +0000 2015,Sheet’ká
Micael,MicaelConti,,226,226,469,0,33130,Fri Mar 25 00:54:11 +0000 2016,
moody,yourstrulymoody,a&r @republicrecords,1310,1310,1772,6,14226,Mon Sep 28 16:11:58 +0000 2015,"New York, NY"
herway,herway1,,0,0,46,0,37,Tue Aug 13 11:24:45 +0000 2019,
磧二郎,sekizirou011,幸せに生きたい.......どう森最高ー!!!!!!!!!ビートルズ好きのクソガキです(にわか),33,33,908,0,236,Sat Jul 20 15:59:12 +0000 2019,
𝐍𝐨𝐬𝐚𝐣 ➐,NosajPHNM,Founder & CEO of @PhenomGamingORG,8,8,547,0,453,Tue Mar 26 16:39:52 +0000 2019,
Isabel,isabelchapo,a sharpie face on tangerines,69,69,150,0,903,Mon Aug 13 17:58:51 +0000 2018,
hahhah ✨,reversedhannah,anda a tomar agua oe,459,459,444,1,36168,Wed Nov 04 21:01:31 +0000 2009,toronto / cusco
bri,untitled_doc_,,65,65,123,0,2203,Thu Apr 25 03:25:20 +0000 2019,
𝕛𝕖𝕗𝕗𝕣𝕖𝕪 𝕋𝕒𝕖𝕥𝕤𝕔𝕙,JeffreyTaetsch,Gar-Field HS CO'21 Rowing ☝🏽     R.I.P.,150,150,213,0,1631,Thu Aug 23 14:04:17 +0000 2018,"Lake Ridge, VA"
Vicki,vicdombal,lol,68,68,75,0,112,Wed Aug 17 10:45:32 +0000 2016,
ʙᴜʙs,breeoff,righteous mama || pro-blk hottie,548,548,1089,3,62530,Sun Jul 27 21:37:58 +0000 2014,ig: breeoff  
Mick W,DyeBread,,12,12,208,0,5097,Sat Apr 29 17:52:24 +0000 2017,
♔,imtheonlyangxl,this is life not heaven you don't have to be perfect.   {I follow back},263,263,846,0,1790,Thu Jan 03 12:19:51 +0000 2019,𝐝𝐚𝐫𝐤 𝐩𝐚𝐫𝐚𝐬𝐢𝐝𝐞 
Jocelyn,perea_jocelyn,♡ insta - @jocelynnperea,57,57,121,0,1146,Wed Jun 10 01:22:39 +0000 2015,"New Mexico, USA"
jasmine🌹,intrntgrl2,mommy 💕,42,42,684,0,1588,Thu Nov 07 18:37:13 +0000 2019,"Saskatchewan, Canada"
ROJO🖍 Hacked At A Billion,TraeRojo,LLV🌍 | Vegas 🎲| Insta: @Traerojo,517,517,1368,1,43544,Mon Feb 15 03:23:19 +0000 2016,Las Vegas
Cynthia🥾🌎,CynthiaEsparz20,...,39,39,51,0,6411,Sat Jul 18 05:27:37 +0000 2015,"San Diego, CA"
yeek fan account ⭐️,T00FAST,"all i know is stan yeek, play animal crossing, and lie",3,3,45,0,17922,Fri Feb 20 00:39:25 +0000 2015,dreamland 
%,dodo_ald,crees que me importa,173,173,519,1,5810,Thu Apr 18 02:31:05 +0000 2019,Abu Dhabi
Christian Long OnlyFans,c_longfanpage69,no follows cuz I don’t have friends. mind ur own business.,2,2,163,0,282,Tue Nov 26 16:17:02 +0000 2019,
Molly,Molly86846151,AI,21,21,241,0,125,Mon Feb 04 12:38:10 +0000 2019,"Liverpool, England"
BASMALA.,Basmalaa_nasser,🦄,471,471,230,0,2706,Fri Jul 19 05:58:17 +0000 2019,ارض الله واسعه
e,tristesushi,oirauca //.,12,12,28,0,156,Fri Aug 09 03:22:05 +0000 2019,👻
hater,solnyshky,cntrl alt del,78,78,108,0,6477,Tue Jul 16 04:21:24 +0000 2019,
Graham Knerr,GrahamKnerr,sports,354,354,448,0,5664,Sun Sep 20 01:19:16 +0000 2015,Mount Kilimanjaro
aa,itsnotallen_,♓️,147,147,176,1,15761,Tue Dec 05 09:12:21 +0000 2017,Bacolod City
"it me, llu",plut0sheart,no bones,7,7,136,2,3893,Sat Jun 09 00:35:52 +0000 2018,
ebony.,okayebony,,224,224,267,0,1927,Tue Jun 30 14:03:47 +0000 2015,"Florida, USA"
tai,tainadfghjkl,nem eu me aguento | @flamengo,255,255,524,0,54928,Tue Jul 26 20:03:53 +0000 2016,exCP2 farmaUFF ||-//
wiped0ut,ripyouth2,daytrip took it to ten🧢,11,11,26,0,2091,Mon Oct 28 22:56:27 +0000 2019,
まんち君,kusoyaroo55,自然な感じで /今日にありがとう,358,358,125,2,210,Sun Mar 06 07:03:08 +0000 2016,420関西
Derek Morgan,grassfedhoe,🍳pAn,9,9,114,0,2431,Thu Oct 17 08:31:17 +0000 2019,
La Star Supreme,starlinginirio1,,317,317,5006,0,36772,Sat Dec 05 22:59:00 +0000 2015,United States
sabrina,candylandbdsm,19 uwu uwu uwu,291,291,468,0,2184,Tue Mar 13 00:16:31 +0000 2018,"Berkshire, MA"
Harold Block,Madizm80,Hard working father of three. With the best family in the world!!,53,53,416,1,164,Wed Jun 29 19:44:35 +0000 2011,SW FL
みきぽんたかやま,3000_scp,ピカチュウ！アイアンテールだ！,239,239,1347,0,10838,Sat Aug 18 04:23:51 +0000 2018,そこらへん
Stacy Sibri,StacySibri,I'm a loser and pansexual.,0,0,39,0,842,Sun Nov 24 05:08:44 +0000 2019,
shog,_shog13,,1,1,3282,0,13341,Tue May 08 19:35:15 +0000 2018,المملكة العربية السعودية
cynthia,cynthiarivera_,,36,36,61,0,6830,Mon Apr 09 05:31:26 +0000 2018,
Miguel 💮,WhatUsaiyanMF,ig: whatusaiyanmf,53,53,194,0,6256,Thu Aug 29 01:29:02 +0000 2019,"San Antonio,TX"
NouveauRoi,NouveauRoi,,378,378,4249,0,412,Sat Jun 29 16:26:42 +0000 2013,
daisy,daisyzavalla,🌊,412,412,401,2,22551,Sun Aug 24 09:01:20 +0000 2014,
hang the dj,secretlyluigi,that’s not very cash money of you.,6,6,75,0,3165,Sun Aug 25 19:39:46 +0000 2019,
FRANK OCEANS CUM SOCK,yallsmell69,,529,529,211,4,31009,Mon Jul 20 19:13:35 +0000 2015,
jake,JakeGunth,stupid,202,202,364,1,7938,Thu Jun 14 22:07:22 +0000 2012,
t,whoreforbronte,(@hlmtgrl) i spam a lot and cry too much sorry:/ i’m seriously so annoying don’t request unless u wanna be so annoyed,31,31,176,1,1006,Sat Jul 22 13:25:52 +0000 2017,tw
BvbySavaqe,Chrissybear21,"🅱lunt , Lez , Anti-Social💯✋😎",47,47,392,0,2467,Fri May 20 03:40:34 +0000 2016,"Nashville, TN"
apimpnamedmahogany,mahoganyy_1,lou•hou | ♡,7,7,53,0,2560,Fri Apr 19 06:36:52 +0000 2019,
J Dub 😋,MeDaBombDotCom,"☆22☆ | sc: JacksTrippin|⚖|🖤|👬|
Unfathomable.
|🤑|
Sugar Papi Inquisitions💲 https://t.co/6awM9ehroH",110,110,619,0,10829,Wed Dec 18 02:05:43 +0000 2013,"Seattle, WA"
quentin quarantino,earth2cody,fashionably lit,870,870,684,5,14146,Tue Jan 24 00:39:22 +0000 2012,"Miami, FL"
VAN,savwomack1,♒️,79,79,205,0,8305,Fri Jun 15 18:01:41 +0000 2018,
Fiwstockford,fiwstockford,I’m new to this app so I only know how to follow people:),0,0,50,0,278,Sat Feb 09 09:30:55 +0000 2019,
👾rukiruki👾,rky_8647,BADHOP/川崎/T大学,507,507,770,1,22190,Fri Sep 09 07:53:00 +0000 2016,North Side
:/🔪,breathsauce,maybe bird app account,134,134,288,0,2613,Sun Jul 15 06:00:04 +0000 2018,
yourmotherridingit,jen49813386,‘everything will be worst baby just hold on’.,6,6,94,0,560,Wed Aug 01 02:04:30 +0000 2018,"Riyadh, Kingdom of Saudi Arabia"
skrrrt vonnegut,smooth_braind,|🌸 STRESSCOAST X BASEMENT CREW 🌸| tsunami sentai pink // back on the vegetables ~~~he/him~~~ ///////CLOUTPILLED///////,174,174,212,0,28566,Fri May 26 04:52:14 +0000 2017,
Lean,lilbbyjupiter,"3breathing in I am calm,3breathing out I am love3",36,36,515,0,15852,Sat May 05 21:06:50 +0000 2018,Universe 7
ANJANETTE ✨,wifeofspitta_,24 • Pisces ♓️ • ig: @anjanettexflores 🦄 • AALIYAH JADE 🌸,982,982,727,3,14351,Sun May 27 23:14:10 +0000 2012,"Houston, Tx"
Tony ⌚️,tony_velez12,FIU | ⚽️,262,262,504,3,14761,Sun Aug 04 13:03:23 +0000 2013,"Miami, FL"
J,prideabra,bland gal (enciaga),3,3,92,0,1034,Sun Aug 19 08:18:47 +0000 2018,too close for comfort 
𝐍 𝐢 𝐍 𝐢 🌙,SrirachaAintHot,"fuck me over, and your granny getting jumped",56,56,269,0,7837,Wed May 04 16:07:41 +0000 2016,この世界の外 🐥
alondra !!,alond_gar,we stay on our dumb bitch juice,8,8,76,0,895,Sat Apr 09 18:33:22 +0000 2016,
Zijiku,dgmaster666,,13,13,142,0,41,Wed May 27 09:01:07 +0000 2015,
a lice,ak_ixal,,58,58,145,0,2728,Tue Feb 19 03:29:31 +0000 2019,
kevbot,chief_kevin_,AZ ☀️,690,690,423,3,20334,Mon Jul 02 10:49:29 +0000 2012,
Matthew,Matthew38527428,🎒😴,5,5,25,0,747,Mon Feb 04 07:56:06 +0000 2019,United States
nat,_originatalie_,,1085,1085,879,19,88536,Sun Nov 18 16:11:19 +0000 2012,
neive,naiveneive,incredibly average,1408,1408,888,6,80077,Sat Oct 09 14:01:19 +0000 2010,
a good name,agoodname17,Basically am monkey,0,0,83,0,202,Thu Jun 27 20:18:35 +0000 2019,
THIRSTON,phaizellcanread,"look ma, NO HANDS",274,274,476,0,12030,Mon Aug 20 18:52:21 +0000 2018,boemstead
RATATATAAA,betthnny,it’s not important,165,165,640,0,13315,Mon Feb 04 23:48:57 +0000 2019,"Bedford, England"
Á,Adandied,it is what it is 🥱,36,36,73,1,1127,Fri Nov 09 15:54:15 +0000 2018,purgatory
vena,vena01793594,"Skriver om alt mellem himmel & jord, men jeg interesserer mig særligt for international politik.",51,51,136,0,11077,Thu Jan 17 20:38:05 +0000 2019,
em,emmalynedonnell,i'm not sosa but these bitches love me,257,257,690,3,28935,Tue Jun 28 00:46:27 +0000 2016,
¿?,xtranjeraaa,☯️ 💿 ☯️ 𝕯𝕵 ☯️ 💿 ☯️ all inquiries: info@xtranjera.net,101,101,206,3,10836,Fri Feb 13 08:09:30 +0000 2009,"Los Angeles, CA"
jvpitr.,jvpitr,a half-assed work in progress. tell ya grandma bout me.,316,316,1427,0,18868,Tue Aug 23 04:38:39 +0000 2016,"Chicago, IL"
Λndy,axndyyy,Don’t ask for a french fry ¡¡¡¡,332,332,258,0,5524,Sat Oct 11 16:23:58 +0000 2014,
ni; 𝑒𝑑𝑖𝑡 𝑓𝑐,mooxnedit,ig: mooxnedit / picsart: mooxnedit,12,12,33,0,8,Sat Nov 23 02:59:38 +0000 2019,
cass ✨🦖,beattyinjeans,i’m definitely not a ry*n be*tty stan or whateva,126,126,810,1,9515,Thu Nov 03 06:36:09 +0000 2016,
Sattar,1sattar1,,22,22,150,0,626,Thu Nov 20 14:55:19 +0000 2014,Syria/USA/Turkey 
bean boy,ElMarshallDavis,,380,380,291,5,23328,Fri Jul 13 22:29:47 +0000 2012,:):
alycia,Alycia_Basdekis,Σ(￣。￣ﾉ)ﾉ                                                                      day notes,215,215,188,2,15822,Sun Feb 12 02:06:06 +0000 2012,nh bound 
Samuel Wilson,ETNP__,(Relevant Image Dump) Image/Moving Image,455,455,809,11,6012,Thu Jan 06 20:00:43 +0000 2011,"London, England"
Uzi.chan,d3adman_luzif3r,,2,2,3,0,8,Wed Oct 16 22:29:11 +0000 2019,"San Antonio, TX"
Ga🐝🌿,gabby_markez,uci’22 🦋,61,61,140,0,3853,Mon Dec 31 09:10:56 +0000 2018,"California, USA"
